ATC;NT;NAZEV;NAZEV_EN
C03D;N;ANTAGONISTÉ ALDOSTERONU A JINÁ KALIUM ŠETŘÍCÍ DIURETIKA;ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS
C03DA;N;Antagonisté aldosteronu;Aldosterone antagonists
C03DA01;N;spironolakton;spironolactone
C03DA02;N;kalium-kanrenoát;potassium canrenoate
C03DA03;N;kanrenon;canrenone
C03DA04;N;eplerenon;eplerenone
C03DA05;N;finerenon;finerenone
C03DB;N;Jiná kalium šetřící diuretika;Other potassium-sparing agents
C03DB01;N;amilorid;amiloride
C03DB02;N;triamteren;triamterene
C03E;N;DIURETIKA A KALIUM ŠETŘÍCÍ DIURETIKA V KOMBINACI;DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION
C03EA;N;Diuretika s nižším účinkem a kalium šetřící diuretika;Low-ceiling diuretics and potassium-sparing agents
C03EA01;N;hydrochlorothiazid a kalium šetřící diuretika;hydrochlorothiazide and potassium-sparing agents
C03EA02;N;trichlormethiazid a kalium šetřící diuretika;trichlormethiazide and potassium-sparing agents
C03EA03;N;epitizid a kalium šetřící diuretika;epitizide and potassium-sparing agents
C03EA04;N;altizid a kalium šetřící diuretika;altizide and potassium-sparing agents
C03EA05;N;mebutizid a kalium šetřící diuretika;mebutizide and potassium-sparing agents
C03EA06;N;chlortalidon a kalium šetřící diuretika;chlortalidone and potassium-sparing agents
C03EA07;N;cyklopenthiazid a kalium šetřící diuretika;cyclopenthiazide and potassium-sparing agents
C03EA12;N;metolazon a kalium šetřící diuretika;metolazone and potassium-sparing agents
C03EA13;N;bendroflumethiazid a kalium šetřící diuretika;bendroflumethiazide and potassium-sparing agents
C03EA14;N;butizid a kalium šetřící diuretika;butizide and potassium-sparing agents
C03EB;N;Diuretika s vysokým účinkem a kalium šetřící diuretika;High-ceiling diuretics and potassium-sparing agents
C03EB01;N;furosemid a kalium šetřící diuretika;furosemide and potassium-sparing agents
C03EB02;N;bumetanid a kalium šetřící diuretika;bumetanide and potassium-sparing agents
C03X;N;JINÁ DIURETIKA;OTHER DIURETICS
C03XA;N;Antagonisté vasopressinu;Vasopressin antagonists
C03XA01;N;tolvaptan;tolvaptan
C03XA02;N;konivaptan;conivaptan
C04;N;PERIFERNÍ VAZODILATANCIA;PERIPHERAL VASODILATORS
C04A;N;PERIFERNÍ VAZODILATANCIA;PERIPHERAL VASODILATORS
C04AA;N;Deriváty 2-amino-1-fenylethanolu;2-amino-1-phenylethanol derivatives
C04AA01;N;isoxsuprin;isoxsuprine
C04AA02;N;bufenin;buphenine
C04AA31;N;bamethan;bamethan
C04AB;N;Imidazolové deriváty;Imidazoline derivatives
C04AB01;N;fentolamin;phentolamine
C04AB02;N;tolazolin;tolazoline
C04AC;N;Kyselina nikotinová a deriváty;Nicotinic acid and derivatives
C04AC01;N;kyselina nikotinová;nicotinic acid
C04AC02;N;nikotinylalkohol (pyridinmethanol);nicotinyl alcohol (pyridylcarbinol)
C04AC03;N;inositol-nikotinát;inositol nicotinate
C04AC07;N;ciklonikát;ciclonicate
C04AD;N;Deriváty purinu;Purine derivatives
C04AD01;N;pentifylin;pentifylline
C04AD02;N;xanthinol-nikotinát;xantinol nicotinate
C04AD03;N;pentoxifylin;pentoxifylline
C04AD04;N;etofylin-nikotinát;etofylline nicotinate
C04AE;N;Námelové alkaloidy;Ergot alkaloids
C04AE01;N;hydrogenované námelové alkaloidy;ergoloid mesylates
C04AE02;N;nicergolin;nicergoline
C04AE04;N;dihydroergokristin;dihydroergocristine
C04AE51;N;hydrogenované námelové alkaloidy, kombinace;ergoloid mesylates, combinations
C04AE54;N;dihydroergokristin, kombinace;dihydroergocristine, combinations
C04AF;N;Enzymy;Enzymes
C04AF01;N;kalidinogenasa;kallidinogenase
C04AX;N;Jiná periferní vazodilatancia;Other peripheral vasodilators
C04AX01;N;cyklandelát;cyclandelate
C04AX02;N;fenoxybenzamin;phenoxybenzamine
C04AX07;N;vinkamin;vincamine
C04AX10;N;moxisylyt;moxisylyte
C04AX11;N;bencyklan;bencyclane
C04AX17;N;vinburnin;vinburnine
C04AX19;N;suloktidil;suloctidil
C04AX20;N;buflomedil;buflomedil
C04AX21;N;naftidrofuryl;naftidrofuryl
C04AX23;N;butalamin;butalamine
C04AX24;N;visnadin;visnadine
C04AX26;N;cetiedil;cetiedil
C04AX27;N;cinepazid;cinepazide
C04AX28;N;ifenprodil;ifenprodil
C04AX30;N;azapetin;azapetine
C04AX32;N;fasudil;fasudil
C04AX33;N;klazosentan;clazosentan
C05;N;VAZOPROTEKTIVA, VENOFARMAKA;VASOPROTECTIVES
C05A;N;LÁTKY K TERAPII HEMOROIDŮ A ANÁLNÍCH FISUR PRO LOKÁLNÍ APLIKACI;AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
C05AA;N;Kortikosteroidy;Corticosteroids
C05AA01;N;hydrokortison;hydrocortisone
C05AA04;N;prednisolon;prednisolone
C05AA05;N;betamethason;betamethasone
C05AA06;N;fluormetholon;fluorometholone
C05AA08;N;fluokortolon;fluocortolone
C05AA09;N;dexamethason;dexamethasone
C05AA10;N;fluocinolon-acetonid;fluocinolone acetonide
C05AA11;N;fluocinonid;fluocinonide
C05AA12;N;triamcinolon;triamcinolone
C05AB;N;Antibiotika;Antibiotics
C05AD;N;Lokální anestetika;Local anesthetics
C05AD01;N;lidokain;lidocaine
C05AD02;N;tetrakain;tetracaine
C05AD03;N;benzokain;benzocaine
C05AD04;N;cinchokain;cinchocaine
C05AD05;N;prokain;procaine
C05AD06;N;oxetakain;oxetacaine
C05AD07;N;pramokain;pramocaine
C05AE;N;Myorelaxancia;Muscle relaxants
C05AE01;N;glycerol-trinitrát;glyceryl trinitrate
C05AE02;N;isosorbid-dinitrát;isosorbide dinitrate
C05AE03;N;diltiazem;diltiazem
C05AX;N;Jiné látky k terapii hemoroidů a análních fisur pro lokální aplikaci;Other agents for treatment of hemorrhoids and anal fissures for topical use
C05AX01;N;přípravky obsahující hliník;aluminium preparations
C05AX02;N;přípravky obsahující bismut, kombinace;bismuth preparations, combinations
C05AX03;N;antihemoroidika pro lokální aplikaci, jiné přípravky, kombinace;other preparations, combinations
C05AX04;N;přípravky obsahující zinek;zinc preparations
C05AX05;N;tribenosid;tribenoside
C05AX06;N;fenylefrin;phenylephrine
C05B;N;ANTIVARIKÓZNÍ TERAPIE;ANTIVARICOSE THERAPY
C05BA;N;Hepariny a heparinoidy pro lokální aplikaci;Heparins or heparinoids for topical use
C05BA01;N;organo-heparinoid;organo-heparinoid
C05BA02;N;natrium-apolát;sodium apolate
C05BA03;N;heparin;heparin
C05BA04;N;natrium-pentosan-polysulfát;pentosan polysulfate sodium
C05BA51;N;heparinoidy, kombinace;heparinoid, combinations
C05BA53;N;heparin, kombinace;heparin, combinations
C05BB;N;Sklerotizující látky k lokální injekci;Sclerosing agents for local injection
C05BB01;N;monoethanolamin-oleát;monoethanolamine oleate
C05BB02;N;lauromakrogol 400 (polidokanol);polidocanol
C05BB03;N;invertosa;invert sugar
C05BB04;N;natrium-tetradecyl-sulfát;sodium tetradecyl sulfate
C05BB05;N;fenol;phenol
C05BB56;N;glukosa, kombinace;glucose, combinations
C05BX;N;Jiné sklerotizující látky;Other sclerosing agents
C05BX01;N;kalcium-dobesilát;calcium dobesilate
C05BX51;N;kalcium-dobesilát, kombinace;calcium dobesilate, combinations
C05C;N;LÁTKY STABILIZUJÍCÍ KAPILÁRY;CAPILLARY STABILIZING AGENTS
C05CA;N;Bioflavonoidy;Bioflavonoids
C05CA01;N;rutosid;rutoside
C05CA02;N;monoxerutin;monoxerutin
C05CA03;N;diosmin;diosmin
C05CA04;N;troxerutin;troxerutin
C05CA05;N;hidrosmin;hidrosmin
C05CA51;N;rutosid, kombinace;rutoside, combinations
C05CA53;N;diosmin, kombinace;diosmin, combinations
C05CA54;N;troxerutin, kombinace;troxerutin, combinations
C05CX;N;Jiné kapiláry stabilizující látky;Other capillary stabilizing agents
C05CX01;N;tribenosid;tribenoside
C05CX02;N;naftazon;naftazone
C05CX03;N;jírovcové semeno;Hippocastani semen
C05X;N;OSTATNÍ VAZOPROTEKTIVA;OTHER VASOPROTECTIVES
C05XX;N;Ostatní vazoprotektiva;Other vasoprotectives
C05XX01;N;beperminogen perplasmid;beperminogene perplasmid
C07;N;BETA-BLOKÁTORY;BETA BLOCKING AGENTS
C07A;N;BETA-BLOKÁTORY;BETA BLOCKING AGENTS
C07AA;N;Beta-blokátory neselektivní;Beta blocking agents, non-selective
C07AA01;N;alprenolol;alprenolol
C07AA02;N;oxprenolol;oxprenolol
C07AA03;N;pindolol;pindolol
C07AA05;N;propranolol;propranolol
C07AA06;N;timolol;timolol
C07AA07;N;sotalol;sotalol
C07AA12;N;nadolol;nadolol
C07AA14;N;mepindolol;mepindolol
C07AA15;N;karteolol;carteolol
C07AA16;N;tertatolol;tertatolol
C07AA17;N;bopindolol;bopindolol
C07AA19;N;bupranolol;bupranolol
C07AA23;N;penbutolol;penbutolol
C07AA27;N;chloranolol;cloranolol
C07AB;N;Beta-blokátory selektivní;Beta blocking agents, selective
C07AB01;N;praktolol;practolol
C07AB02;N;metoprolol;metoprolol
C07AB03;N;atenolol;atenolol
C07AB04;N;acebutolol;acebutolol
C07AB05;N;betaxolol;betaxolol
C07AB06;N;bevantolol;bevantolol
C07AB07;N;bisoprolol;bisoprolol
C07AB08;N;celiprolol;celiprolol
C07AB09;N;esmolol;esmolol
C07AB10;N;epanolol;epanolol
C07AB11;N;esatenolol;s-atenolol
C07AB12;N;nebivolol;nebivolol
C07AB13;N;talinolol;talinolol
C07AB14;N;landiolol;landiolol
C07AG;N;Alfa- a beta-blokátory;Alpha and beta blocking agents
C07AG01;N;labetalol;labetalol
C07AG02;N;karvedilol;carvedilol
C07B;N;BETA-BLOKÁTORY A THIAZIDY;BETA BLOCKING AGENTS AND THIAZIDES
C07BA;N;Beta-blokátory neselektivní a thiazidy;Beta blocking agents, non-selective, and thiazides
C07BA02;N;oxprenolol a thiazidy;oxprenolol and thiazides
C07BA05;N;propranolol a thiazidy;propranolol and thiazides
C07BA06;N;timolol a thiazidy;timolol and thiazides
C07BA07;N;sotalol a thiazidy;sotalol and thiazides
C07BA12;N;nadolol a thiazidy;nadolol and thiazides
C07BA68;N;metipranolol a thiazidy, kombinace;metipranolol and thiazides, combinations
C07BB;N;Beta-blokátory selektivní a thiazidy;Beta blocking agents, selective, and thiazides
C07BB02;N;metoprolol a thiazidy;metoprolol and thiazides
C07BB03;N;atenolol a thiazidy;atenolol and thiazides
C07BB04;N;acebutolol a thiazidy;acebutolol and thiazides
C07BB06;N;bevantolol a thiazidy;bevantolol and thiazides
C07BB07;N;bisoprolol a thiazidy;bisoprolol and thiazides
C07BB12;N;nebivolol a thiazidy;nebivolol and thiazides
C07BB52;N;metoprolol a thiazidy, kombinace;metoprolol and thiazides, combinations
C07BG;N;Alfa- a beta-blokátory a thiazidy;Alpha and beta blocking agents and thiazides
C07BG01;N;labetalol a thiazidy;labetalol and thiazides
C07C;N;BETA-BLOKÁTORY A JINÁ DIURETIKA;BETA BLOCKING AGENTS AND OTHER DIURETICS
C07CA;N;Beta-blokátory neselektivní a jiná diuretika;Beta blocking agents, non-selective, and other diuretics
C07CA02;N;oxprenolol a jiná diuretika;oxprenolol and other diuretics
C07CA03;N;pindolol a jiná diuretika;pindolol and other diuretics
C07CA17;N;bopindolol a jiná diuretika;bopindolol and other diuretics
C07CA23;N;penbutolol a jiná diuretika;penbutolol and other diuretics
C07CB;N;Beta-blokátory selektivní a jiná diuretika;Beta blocking agents, selective, and other diuretics
C07CB02;N;metoprolol a jiná diuretika;metoprolol and other diuretics
C07CB03;N;atenolol a jiná diuretika;atenolol and other diuretics
C07CB53;N;atenolol a jiná diuretika, kombinace;atenolol and other diuretics, combinations
C07CG;N;Alfa- a beta-blokátory a jiná diuretika;Alpha and beta blocking agents and other diuretics
C07CG01;N;labetalol a jiná diuretika;labetalol and other diuretics
C07D;N;BETA-BLOKÁTORY, THIAZIDY A JINÁ DIURETIKA;BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS
C07DA;N;Beta-blokátory neselektivní, thiazidy a jiná diuretika;Beta blocking agents, non-selective, thiazides and other diuretics
C07DA06;N;timolol, thiazidy a jiná diuretika;timolol, thiazides and other diuretics
C07DB;N;Beta-blokátory selektivní, thiazidy a jiná diuretika;Beta blocking agents, selective, thiazides and other diuretics
C07DB01;N;atenolol, thiazidy a jiná diuretika;atenolol, thiazides and other diuretics
C07E;N;BETA-BLOKÁTORY A VAZODILATANCIA;BETA BLOCKING AGENTS AND VASODILATORS
C07EA;N;Beta-blokátory neselektivní a vazodilatancia;Beta blocking agents, non-selective, and vasodilators
C07EB;N;Beta-blokátory selektivní a vazodilatancia;Beta blocking agents, selective, and vasodilators
C07F;N;BETA-BLOKÁTORY, JINÉ KOMBINACE;BETA BLOCKING AGENTS, OTHER COMBINATIONS
C07FB;N;Beta-blokátory a blokátory kalciových kanálů;Beta blocking agents and calcium channel blockers
C07FB02;N;metoprolol a felodipin;metoprolol and felodipine
C07FB03;N;atenolol a nifedipin;atenolol and nifedipine
C07FB07;N;bisoprolol a amlodipin;bisoprolol and amlodipine
C07FB12;N;nebivolol a amlodipin;nebivolol and amlodipine
C07FB13;N;metoprolol a amlodipin;metoprolol and amlodipine
C07FX;N;Beta-blokátory, jiné kombinace;Beta blocking agents, other combinations
C07FX01;N;propranolol a jiné kombinace;propranolol and other combinations
C07FX02;N;sotalol a kyselina acetylsalicylová;sotalol and acetylsalicylic acid
C07FX03;N;metoprolol a kyselina acetylsalicylová;metoprolol and acetylsalicylic acid
C07FX04;N;bisoprolol a kyselina acetylsalicylová;bisoprolol and acetylsalicylic acid
C07FX05;N;metoprolol a ivabradin;metoprolol and ivabradine
C07FX06;N;karvedilol a ivabradin;carvedilol and ivabradine
C08;N;BLOKÁTORY KALCIOVÝCH KANÁLŮ;CALCIUM CHANNEL BLOCKERS
C08C;N;SELEKTIVNÍ BLOKÁTORY KALCIOVÝCH KANÁLŮ S PŘEVÁŽNĚ VASKULÁRNÍM ÚČINKEM;SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
C08CA;N;Dihypropyridinové deriváty;Dihydropyridine derivatives
C08CA01;N;amlodipin;amlodipine
C08CA02;N;felodipin;felodipine
C08CA03;N;isradipin;isradipine
C08CA04;N;nikardipin;nicardipine
C08CA05;N;nifedipin;nifedipine
C08CA06;N;nimodipin;nimodipine
C08CA07;N;nisoldipin;nisoldipine
C08CA08;N;nitrendipin;nitrendipine
C08CA09;N;lacidipin;lacidipine
C08CA10;N;nilvadipin;nilvadipine
C08CA11;N;manidipin;manidipine
C08CA12;N;barnidipin;barnidipine
C08CA13;N;lerkanidipin;lercanidipine
C08CA14;N;cilnidipin;cilnidipine
C08CA15;N;benidipin;benidipine
C08CA16;N;klevidipin;clevidipine
C08CA17;N;levamlodipin;levamlodipine
C08CA51;N;amlodipin a celekoxib;amlodipine and celecoxib
C08CA55;N;nifedipin, kombinace;nifedipine, combinations
C08CX;N;Jiné selektivní blokátoty kalciových kanálů s převážně vaskulárním účinkem;Other selective calcium channel blockers with mainly vascular effects
C08CX01;N;mibefradil;mibefradil
C08D;N;SELEKTIVNÍ BLOKÁTORY KALCIOVÝCH KANÁLŮ S PŘÍMÝM KARDIÁLNÍM ÚČINKEM;SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
C08DA;N;Fenylalkylaminové deriváty;Phenylalkylamine derivatives
C08DA01;N;verapamil;verapamil
C08DA02;N;gallopamil;gallopamil
C08DA03;N;etripamil;etripamil
C08DA51;N;verapamil, kombinace;verapamil, combinations
C08DB;N;Benzothiazepinové deriváty;Benzothiazepine derivatives
C08DB01;N;diltiazem;diltiazem
C08E;N;NESELEKTIVNÍ BLOKÁTORY KALCIOVÝCH KANÁLŮ;NON-SELECTIVE CALCIUM CHANNEL BLOCKERS
C08EA;N;Fenylalkylaminové deriváty;Phenylalkylamine derivatives
C08EA01;N;fendilin;fendiline
C08EA02;N;bepridil;bepridil
C08EX;N;Jiné neselektivní blokátory kalciových kanálů;Other non-selective calcium channel blockers
C08EX01;N;lidoflazin;lidoflazine
C08EX02;N;perhexilin;perhexiline
C08G;N;BLOKÁTORY KALCIOVÝCH KANÁLŮ A DIURETIKA;CALCIUM CHANNEL BLOCKERS AND DIURETICS
C08GA;N;Blokátory kalciových kanálů a diuretika;Calcium channel blockers and diuretics
C08GA01;N;nifedipin a diuretika;nifedipine and diuretics
C08GA02;N;amlodipin a diuretika;amlodipine and diuretics
C09;N;LÉČIVA OVLIVŇUJÍCÍ RENIN-ANGIOTENZINOVÝ SYSTÉM;AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09A;N;ACE INHIBITORY, SAMOTNÉ;ACE INHIBITORS, PLAIN
C09AA;N;Ace inhibitory, samotné;ACE inhibitors, plain
C09AA01;N;kaptopril;captopril
C09AA02;N;enalapril;enalapril
C09AA03;N;lisinopril;lisinopril
C09AA04;N;perindopril;perindopril
C09AA05;N;ramipril;ramipril
C09AA06;N;chinapril;quinapril
C09AA07;N;benazepril;benazepril
C09AA08;N;cilazapril;cilazapril
C09AA09;N;fosinopril;fosinopril
C09AA10;N;trandolapril;trandolapril
C09AA11;N;spirapril;spirapril
C09AA12;N;delapril;delapril
C09AA13;N;moexipril;moexipril
C09AA14;N;temokapril;temocapril
C09AA15;N;zofenopril;zofenopril
C09AA16;N;imidapril;imidapril
C09B;N;ACE INHIBITORY, KOMBINACE;ACE INHIBITORS, COMBINATIONS
C09BA;N;Ace inhibitory a diuretika;ACE inhibitors and diuretics
C09BA01;N;kaptopril a diuretika;captopril and diuretics
C09BA02;N;enalapril a diuretika;enalapril and diuretics
C09BA03;N;lisinopril a diuretika;lisinopril and diuretics
C09BA04;N;perindopril a diuretika;perindopril and diuretics
C09BA05;N;ramipril a diuretika;ramipril and diuretics
C09BA06;N;chinapril a diuretika;quinapril and diuretics
C09BA07;N;benazepril a diuretika;benazepril and diuretics
C09BA08;N;cilazapril a diuretika;cilazapril and diuretics
C09BA09;N;fosinopril a diuretika;fosinopril and diuretics
C09BA12;N;delapril a diuretika;delapril and diuretics
C09BA13;N;moexipril a diuretika;moexipril and diuretics
C09BA15;N;zofenopril a diuretika;zofenopril and diuretics
C09BB;N;Ace inhibitory a blokátory kalciových kanálů;ACE inhibitors and calcium channel blockers
C09BB02;N;enalapril a lerkanidipin;enalapril and lercanidipine
C09BB03;N;lisinopril a amlodipin;lisinopril and amlodipine
C09BB04;N;perindopril a amlodipin;perindopril and amlodipine
C09BB05;N;ramipril a felodipin;ramipril and felodipine
C09BB06;N;enalapril a nitrendipin;enalapril and nitrendipine
C09BB07;N;ramipril a amlodipin;ramipril and amlodipine
C09BB10;N;trandolapril a verapamil;trandolapril and verapamil
C09BB12;N;delapril a manidipin;delapril and manidipine
C09BB13;N;benazepril a amlodipin;benazepril and amlodipine
C09BX;N;Ace inhibitory, jiné kombinace;ACE inhibitors, other combinations
C09BX01;N;perindopril, amlodipin a indapamid;perindopril, amlodipine and indapamide
C09BX02;N;perindopril a bisoprolol;perindopril and bisoprolol
C09BX03;N;ramipril, amlodipin a hydrochlorothiazid;ramipril, amlodipine and hydrochlorothiazide
C09BX04;N;perindopril, bisoprolol a amlodipin;perindopril, bisoprolol and amlodipine
C09BX05;N;ramipril a bisoprolol;ramipril and bisoprolol
C09BX06;N;perindopril, bisoprolol, amlodipin a indapamid;perindopril, bisoprolol, amlodipine and indapamide
C09BX07;N;zofenopril a nebivolol;zofenopril and nebivolol
C09C;N;BLOKÁTORY RECEPTORŮ PRO ANGOITENSIN II (ARBs), SAMOTNÍ;ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN
C09CA;N;Blokátory receptorů pro angoitensin II (ARBs), samotní;Angiotensin II receptor blockers (ARBs), plain
C09CA01;N;losartan;losartan
C09CA02;N;eprosartan;eprosartan
C09CA03;N;valsartan;valsartan
C09CA04;N;irbesartan;irbesartan
C09CA05;N;tasosartan;tasosartan
C09CA06;N;kandesartan;candesartan
C09CA07;N;telmisartan;telmisartan
C09CA08;N;olmesartan-medoxomil;olmesartan medoxomil
C09CA09;N;azilsartan-medoxomil;azilsartan medoxomil
C09CA10;N;fimasartan;fimasartan
C09D;N;BLOKÁTORY RECEPTORŮ PRO ANGOITENSIN II (ARBs), KOMBINACE;ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS
C09DA;N;Blokátory receptorů pro angoitensin II (ARBs) a diuretika;Angiotensin II receptor blockers (ARBs) and diuretics
C09DA01;N;losartan a diuretika;losartan and diuretics
C09DA02;N;eprosartan a diuretika;eprosartan and diuretics
C09DA03;N;valsartan a diuretika;valsartan and diuretics
C09DA04;N;irbesartan a diuretika;irbesartan and diuretics
C09DA06;N;kandesartan a diuretika;candesartan and diuretics
C09DA07;N;telmisartan a diuretika;telmisartan and diuretics
C09DA08;N;olmesartan-medoxomil a diuretika;olmesartan medoxomil and diuretics
C09DA09;N;azilsartan-medoxomil a diuretika;azilsartan medoxomil and diuretics
C09DA10;N;fimasartan a diuretika;fimasartan and diuretics
C09DB;N;Blokátory receptorů pro angoitensin II (ARBs) a blokátory kalciových kanálů;Angiotensin II receptor blockers (ARBs) and calcium channel blockers
C09DB01;N;valsartan a amlodipin;valsartan and amlodipine
C09DB02;N;olmesartan-medoxomil a amlodipin;olmesartan medoxomil and amlodipine
C09DB04;N;telmisartan a amlodipin;telmisartan and amlodipine
C09DB05;N;irbesartan a amlodipin;irbesartan and amlodipine
C09DB06;N;losartan a amlodipin;losartan and amlodipine
C09DB07;N;kandesartan a amlodipin;candesartan and amlodipine
C09DB08;N;valsartan a lerkanidipin;valsartan and lercanidipine
C09DB09;N;fimasartan a  amlodipin;fimasartan and amlodipine
C09DX;N;Blokátory receptorů pro angoitensin II (ARBs), jiné kombinace;Angiotensin II receptor blockers (ARBs), other combinations
C09DX01;N;valsartan, amlodipin a hydrochlorothiazid;valsartan, amlodipine and hydrochlorothiazide
C09DX02;N;valsartan a aliskiren;valsartan and aliskiren
C09DX03;N;olmesartan-medoxomil, amlodipin a hydrochlorothiazid;olmesartan medoxomil, amlodipine and hydrochlorothiazide
C09DX04;N;valsartan a sakubitril;valsartan and sacubitril
C09DX05;N;valsartan a nebivolol;valsartan and nebivolol
C09DX06;N;kandesartan, amlodipin a hydrochlorothiazid;candesartan, amlodipine and hydrochlorothiazide
C09DX07;N;irbesartan, amlodipin a hydrochlorothiazid;irbesartan, amlodipine and hydrochlorothiazide
C09DX08;N;telmisartan, amlodipin a hydrochlorothiazid;telmisartan, amlodipine and hydrochlorothiazide
C09X;N;JINÁ LÉČIVA OVLIVŇUJÍCÍ RENIN-ANGIOTENZINOVÝ SYSTÉM;OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09XA;N;Inhibitory reninu;Renin-inhibitors
C09XA01;N;remikiren;remikiren
C09XA02;N;aliskiren;aliskiren
C09XA52;N;aliskiren a hydrochlorothiazid;aliskiren and hydrochlorothiazide
C09XA53;N;aliskiren a amlodipin;aliskiren and amlodipine
C09XA54;N;aliskiren, amlodipin a hydrochlorothiazid;aliskiren, amlodipine and hydrochlorothiazide
C09XX;N;Jiná léčiva ovlivňující renin-angiotenzinový systém;Other agents acting on the renin-angiotensin system
C09XX01;N;sparsentan;sparsentan
C10;N;LÁTKY UPRAVUJÍCÍ HLADINU LIPIDŮ;LIPID MODIFYING AGENTS
C10A;N;LÁTKY UPRAVUJÍCÍ HLADINU LIPIDŮ, SAMOTNÉ;LIPID MODIFYING AGENTS, PLAIN
C10AA;N;Inhibitory HMG-CoA reduktasy;HMG CoA reductase inhibitors
C10AA01;N;simvastatin;simvastatin
C10AA02;N;lovastatin;lovastatin
C10AA03;N;pravastatin;pravastatin
C10AA04;N;fluvastatin;fluvastatin
C10AA05;N;atorvastatin;atorvastatin
C10AA06;N;cerivastatin;cerivastatin
C10AA07;N;rosuvastatin;rosuvastatin
C10AA08;N;pitavastatin;pitavastatin
C10AB;N;Fibráty;Fibrates
C10AB01;N;klofibrát;clofibrate
C10AB02;N;bezafibrát;bezafibrate
C10AB03;N;aluminium-klofibrát;aluminium clofibrate
C10AB04;N;gemfibrozil;gemfibrozil
C10AB05;N;fenofibrát;fenofibrate
C10AB06;N;simfibrát;simfibrate
C10AB07;N;ronifibrát;ronifibrate
C10AB08;N;ciprofibrát;ciprofibrate
C10AB09;N;etofibrát;etofibrate
C10AB10;N;klofibrid;clofibride
C10AB11;N;cholin-fenofibrát;choline fenofibrate
C10AB12;N;pemafibrát;pemafibrate
C10AC;N;Adsorbenty žlučových kyselin;Bile acid sequestrants
C10AC01;N;kolestyramin;colestyramine
C10AC02;N;kolestipol;colestipol
C10AC03;N;kolextran;colextran
C10AC04;N;kolesevelam;colesevelam
C10AD;N;Kyselina nikotinová a deriváty;Nicotinic acid and derivatives
C10AD01;N;niceritrol;niceritrol
C10AD02;N;kyselina nikotinová;nicotinic acid
C10AD03;N;nikofuranosa;nicofuranose
C10AD04;N;aluminium-nikotinát;aluminium nicotinate
C10AD05;N;nikotinylalkohol (pyridinmethanol);nicotinyl alcohol (pyridylcarbinol)
C10AD06;N;acipimox;acipimox
C10AD52;N;kyselina nikotinová, kombinace;nicotinic acid, combinations
C10AX;N;Jiné látky upravující hladinu lipidů;Other lipid modifying agents
C10AX01;N;dextrothyroxin;dextrothyroxine
C10AX02;N;probukol;probucol
C10AX03;N;tiadenol;tiadenol
C10AX05;N;meglutol;meglutol
C10AX06;N;omega-3-triglyceridy včetně jiných esterů a kyselin;omega-3-triglycerides incl. other esters and acids
C10AX07;N;magnesium-pyridoxalfosfát-glutamát;magnesium pyridoxal 5-phosphate glutamate
C10AX08;N;polikosanol;policosanol
C10AX09;N;ezetimib;ezetimibe
C10AX10;N;alipogen tiparvovek;alipogene tiparvovec
C10AX11;N;mipomersen;mipomersen
C10AX12;N;lomitapid;lomitapide
C10AX13;N;evolokumab;evolocumab
C10AX14;N;alirokumab;alirocumab
C10AX15;N;kyselina bempedoová;bempedoic acid
C10AX16;N;inklisiran;inclisiran
C10AX17;N;evinakumab;evinacumab
C10AX18;N;volanesorsen;volanesorsen
C10B;N;LÁTKY UPRAVUJÍCÍ HLADINU LIPIDŮ, KOMBINACE;LIPID MODIFYING AGENTS, COMBINATIONS
C10BA;N;Kombinace různých látek upravujících hladinu lipidů;Combinations of various lipid modifying agents
C10BA01;N;lovastatin a kyselina nikotinová;lovastatin and nicotinic acid
C10BA02;N;simvastatin a ezetimib;simvastatin and ezetimibe
C10BA03;N;pravastatin a fenofibrát;pravastatin and fenofibrate
C10BA04;N;simvastatin a fenofibrát;simvastatin and fenofibrate
C10BA05;N;atorvastatin a ezetimib;atorvastatin and ezetimibe
C10BA06;N;rosuvastatin a ezetimib;rosuvastatin and ezetimibe
C10BA07;N;rosuvastatin a omega-3-kyseliny;rosuvastatin and omega-3 fatty acids
C10BA08;N;atorvastatin a omega-3-kyseliny;atorvastatin and omega-3 fatty acids
C10BA09;N;rosuvastatin a fenofibrát;rosuvastatin and fenofibrate
C10BA10;N;kyselina bempedoová a ezetimib;bempedoic acid and ezetimibe
C10BA11;N;pravastatin a ezetimib;pravastatin and ezetimibe
C10BA12;N;pravastatin, ezetimib a fenofibrát;pravastatin, ezetimibe and fenofibrate
C10BA13;N;pitavastatin a ezetimib;pitavastatin and ezetimibe
C10BX;N;Látky upravující hladinu lipidů, kombinace s jinými léčivy;Lipid modifying agents in combination with other drugs
